scenarioLabel,protocol,scenario,nNodes,nFlows,simTime,nRuns,pdr_mean,pdr_ci95,latency_mean,latency_ci95,steadyBps_mean,steadyBps_ci95,bootstrapBytes_mean,bootstrapBytes_ci95,totalOverhead_mean,totalOverhead_ci95,energy_mean,energy_ci95,txEnergy_mean,txEnergy_ci95,rxEnergy_mean,rxEnergy_ci95,gttAccuracy_mean,gttAccuracy_ci95,convergence_mean,convergence_ci95,routeDiscovery_mean,routeDiscovery_ci95
sensor-dense,TAVRN,grid,25,10,600.00,5,0.74,0.07,10.95,1.13,91536.56,30610.30,41124.40,3578.83,49470869.20,16528878.07,1810.44,1.05,206.98,31.59,2205.48,312.24,0.96,0.02,342.05,95.54,78.05,60.22
sensor-dense,AODV,grid,25,10,600.00,5,0.94,0.01,26.98,1.86,239152.59,6948.17,126000.00,0.00,129268400.00,3752011.98,1813.44,2.13,373.92,7.67,3533.72,54.31,-1.00,0.00,0.00,0.00,0.00,0.00
sensor-dense,OLSR,grid,25,10,600.00,5,0.83,0.02,11.03,0.51,92292.86,6289.03,144609.60,1404.43,49982752.80,3396819.80,1809.01,1.62,208.42,6.60,2215.47,70.45,1.00,0.00,0.00,0.00,0.00,0.00
sensor-dense,DSDV,grid,25,10,600.00,5,0.84,0.04,11.09,0.73,96421.36,15334.53,245737.60,4896.18,52313273.20,8282342.19,1806.04,1.73,213.18,16.28,2322.48,164.68,-1.00,0.00,0.00,0.00,0.00,0.00
sensor-light,TAVRN,grid,25,2,600.00,5,0.92,0.10,5.23,0.71,4413.06,219.73,41428.00,4519.22,2424482.60,119218.37,1796.57,0.03,6.00,0.23,53.20,1.77,0.98,0.01,280.45,55.68,172.91,20.63
sensor-light,AODV,grid,25,2,600.00,5,1.00,0.00,2.39,0.63,4476.28,1115.87,126000.00,0.00,2543188.80,602568.93,1797.09,0.05,6.14,1.52,57.99,10.98,-1.00,0.00,0.00,0.00,0.00,0.00
sensor-light,OLSR,grid,25,2,600.00,5,1.00,0.00,1.99,0.01,3885.21,39.88,144983.20,2059.91,2242999.20,23594.95,1798.62,0.19,4.98,0.04,56.71,1.28,1.00,0.00,0.00,0.00,0.00,0.00
sensor-light,DSDV,grid,25,2,600.00,5,1.00,0.00,3.25,1.84,5660.86,51.12,248295.20,5737.76,3305159.20,27472.03,1797.03,0.01,7.12,0.05,68.78,0.30,-1.00,0.00,0.00,0.00,0.00,0.00
small,TAVRN,grid,9,3,600.00,5,0.93,0.06,3.95,0.15,5308.89,813.92,5814.80,1036.58,2872616.80,438756.37,647.13,0.02,12.08,0.84,66.49,4.64,1.00,0.00,5.54,0.51,266.27,18.95
small,AODV,grid,9,3,600.00,5,1.00,0.00,4.16,0.25,7108.52,83.93,45360.00,0.00,3883959.20,45320.86,647.29,0.02,14.03,0.12,76.02,0.45,-1.00,0.00,0.00,0.00,0.00,0.00
small,OLSR,grid,9,3,600.00,5,0.96,0.05,3.72,0.24,6343.10,761.33,39318.40,396.70,3464592.00,411266.44,647.61,0.09,13.16,0.77,70.91,4.74,1.00,0.00,0.00,0.00,0.00,0.00
small,DSDV,grid,9,3,600.00,5,0.96,0.02,3.97,0.52,6342.23,271.35,30047.20,509.07,3454850.40,146081.81,647.04,0.06,13.18,0.28,71.59,1.59,-1.00,0.00,0.00,0.00,0.00,0.00
medium,TAVRN,grid,25,5,600.00,5,0.82,0.06,9.44,0.91,17672.37,3481.26,41870.40,2963.13,9584947.60,1877754.52,1798.24,0.19,29.65,3.53,302.12,35.81,0.97,0.01,196.54,49.75,84.78,36.26
medium,AODV,grid,25,5,600.00,5,0.98,0.02,10.20,0.71,28139.40,2531.29,126000.00,0.00,15321278.00,1366897.60,1798.88,0.27,42.22,3.07,415.81,15.97,-1.00,0.00,0.00,0.00,0.00,0.00
medium,OLSR,grid,25,5,600.00,5,0.84,0.05,6.32,0.52,13710.67,1641.03,143581.60,1353.00,7547341.60,885307.12,1799.55,0.17,25.23,1.77,278.44,14.28,1.00,0.00,0.00,0.00,0.00,0.00
medium,DSDV,grid,25,5,600.00,5,0.88,0.07,8.28,0.89,17159.52,1943.27,245540.00,5385.18,9511681.20,1047116.12,1798.17,0.14,29.12,2.05,314.85,24.32,-1.00,0.00,0.00,0.00,0.00,0.00
large,TAVRN,grid,49,10,600.00,5,0.57,0.04,35.65,8.30,104973.04,34827.56,117494.40,15913.78,56802936.80,18814643.72,3527.80,1.03,143.72,42.62,1506.41,377.96,0.87,0.02,461.83,25.56,16.49,6.78
